"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02.01.2020",9.691,9.639,9.705,9.615,"142,38M","1,49%"
"03.01.2020",9.646,9.631,9.650,9.581,"135,13M","-0,46"
"06.01.2020",9.600,9.585,9.618,9.492,"103,52M","-0,47"
"07.01.2020",9.579,9.623,9.657,9.557,"133,48M","-0,22"
"08.01.2020",9.591,9.535,9.604,9.520,"133,96M","0,12%"
"09.01.2020",9.581,9.629,9.644,9.573,"151,79M","-0,10"
"10.01.2020",9.573,9.611,9.623,9.557,"132,89M","-0,09"
"13.01.2020",9.543,9.586,9.586,9.507,"124,15M","-0,31"
"14.01.2020",9.528,9.548,9.548,9.466,"143,77M","-0,16"
"15.01.2020",9.511,9.521,9.530,9.475,"162,00M","-0,17"
"16.01.2020",9.572,9.516,9.579,9.481,"133,84M","0,64%"
"17.01.2020",9.681,9.616,9.709,9.611,"159,82M","1,14%"
"20.01.2020",9.658,9.676,9.680,9.623,"99,96M,"-"0,23%"
"21.01.2020",9.611,9.593,9.620,9.550,"126,45M","-0,49"
"22.01.2020",9.573,9.622,9.632,9.557,"134,57M","-0,39"
"23.01.2020",9.518,9.549,9.604,9.499,"169,14M","-0,58"
"24.01.2020",9.562,9.576,9.639,9.552,"154,73M","0,46%"
"27.01.2020",9.366,9.447,9.482,9.357,"164,52M","-2,05"
"28.01.2020",9.484,9.401,9.488,9.363,"154,92M","1,26%"
"29.01.2020",9.546,9.532,9.574,9.510,"187,15M","0,66%"
"30.01.2020",9.477,9.460,9.528,9.439,"164,09M","-0,72"
"31.01.2020",9.367,9.519,9.545,9.365,"303,55M","-1,16"
"03.02.2020",9.404,9.404,9.431,9.361,"168,67M","0,39%"
"04.02.2020",9.562,9.465,9.577,9.462,"174,13M","1,68%"
"05.02.2020",9.717,9.553,9.721,9.540,"221,92M","1,62%"
"06.02.2020",9.811,9.767,9.816,9.757,"248,42M","0,96%"
"07.02.2020",9.811,9.789,9.816,9.761,"179,59M","-0,00"
"10.02.2020",9.816,9.790,9.820,9.773,"132,13M","0,05%"
"11.02.2020",9.882,9.863,9.884,9.817,"167,63M","0,68%"
"12.02.2020",9.940,9.897,9.946,9.888,"199,83M","0,58%"
"13.02.2020",9.909,9.893,9.910,9.794,"161,75M","-0,31%"
"14.02.2020",9.956,9.910,9.969,9.905,"127,06M","0,47%"
"17.02.2020",10.022,9.979,10.022,9.955,"105,78M","0,66%"
"18.02.2020",10.005,9.977,10.041,9.967,"184,04M","-0,16%"
"19.02.2020",10.083,10.042,10.100,10.020,"151,87M","0,78%"
"20.02.2020",9.931,10.048,10.050,9.931,"178,85M","-1,51%"
"21.02.2020",9.886,9.893,9.946,9.843,"194,95M","-0,45%"
"24.02.2020",9.483,9.649,9.676,9.459,"256,06M","-4,07%"
"25.02.2020",9.250,9.507,9.518,9.248,"263,35M","-2,45%"
"26.02.2020",9.316,9.213,9.362,9.030,"299,26M","0,71%"
"27.02.2020",8.985,9.182,9.204,8.877,"341,79M","-3,55%"
"28.02.2020",8.723,8.748,8.818,8.582,"497,98M","-2,92%"
"02.03.2020",8.741,8.910,8.913,8.541,"355,48M","0,21%"
"03.03.2020",8.811,8.860,9.014,8.776,"351,22M","0,80%"
"04.03.2020",8.910,8.827,8.963,8.745,"321,26M","1,12%"
"05.03.2020",8.683,8.960,8.962,8.639,"342,80M","-2,55%"
"06.03.2020",8.375,8.532,8.542,8.310,"345,90M","-3,54%"
"09.03.2020",7.708,7.884,8.022,7.621,"598,77M","-7,96%"
"10.03.2020",7.461,7.815,8.007,7.440,"506,03M","-3,21%"
"11.03.2020",7.436,7.589,7.717,7.364,"369,15M","-0,34%"
"12.03.2020",6.390,7.040,7.077,6.347,"723,61M","-14,06%"
"13.03.2020",6.629,6.763,7.140,6.468,"473,17M","3,74%"
