"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"04/01/2016",9.313,9.429,9.440,9.263,"279,17M","-2,42%"
"05/01/2016",9.335,9.431,9.446,9.260,"208,64M","0,24%"
"06/01/2016",9.197,9.330,9.330,9.122,"288,66M","-1,48%"
"07/01/2016",9.059,8.973,9.103,8.889,"395,76M","-1,50%"
"08/01/2016",8.909,9.093,9.138,8.909,"310,72M","-1,66%"
"10/01/2016",8.909,8.909,8.909,8.909,"-","0,00%"
"11/01/2016",8.886,8.849,9.022,8.835,"301,41M","-0,26%"
"12/01/2016",8.915,8.867,9.041,8.818,"297,58M","0,33%"
"13/01/2016",8.934,8.998,9.074,8.877,"300,80M","0,21%"
"14/01/2016",8.787,8.852,8.854,8.662,"329,17M","-1,64%"
"15/01/2016",8.543,8.769,8.796,8.491,"458,71M","-2,78%"
"18/01/2016",8.469,8.525,8.627,8.427,"281,06M","-0,87%"
"19/01/2016",8.554,8.624,8.656,8.527,"298,45M","1,01%"
"20/01/2016",8.281,8.390,8.398,8.206,"371,17M","-3,20%"
"21/01/2016",8.444,8.311,8.502,8.277,"358,23M","1,97%"
"22/01/2016",8.722,8.638,8.795,8.565,"374,44M","3,30%"
"25/01/2016",8.567,8.763,8.763,8.525,"263,31M","-1,78%"
"26/01/2016",8.692,8.426,8.698,8.402,"422,23M","1,46%"
"27/01/2016",8.741,8.676,8.741,8.608,"225,52M","0,56%"
"28/01/2016",8.590,8.697,8.811,8.516,"354,36M","-1,72%"
"29/01/2016",8.815,8.728,8.815,8.671,"402,07M","2,62%"
"01/02/2016",8.788,8.849,8.896,8.718,"320,61M","-0,31%"
"02/02/2016",8.528,8.768,8.772,8.478,"385,37M","-2,96%"
"03/02/2016",8.314,8.510,8.519,8.180,"432,08M","-2,51%"
"04/02/2016",8.468,8.437,8.521,8.287,"375,80M","1,85%"
"05/02/2016",8.499,8.477,8.615,8.411,"412,59M","0,37%"
"08/02/2016",8.122,8.537,8.540,8.083,"352,12M","-4,44%"
"09/02/2016",7.927,8.129,8.212,7.862,"484,32M","-2,39%"
"10/02/2016",8.143,8.013,8.249,7.920,"386,48M","2,73%"
"11/02/2016",7.746,8.047,8.047,7.746,"461,01M","-4,88%"
"12/02/2016",7.920,7.849,7.920,7.771,"385,25M","2,25%"
"15/02/2016",8.179,8.133,8.217,8.081,"304,55M","3,26%"
"16/02/2016",8.137,8.262,8.262,8.092,"303,51M","-0,51%"
"17/02/2016",8.364,8.166,8.366,8.140,"324,40M","2,79%"
"18/02/2016",8.295,8.420,8.479,8.255,"312,11M","-0,83%"
"19/02/2016",8.194,8.284,8.335,8.105,"312,66M","-1,22%"
"22/02/2016",8.387,8.290,8.399,8.281,"246,10M","2,35%"
"23/02/2016",8.267,8.345,8.447,8.259,"270,11M","-1,42%"
"24/02/2016",8.013,8.255,8.269,7.968,"307,97M","-3,07%"
"25/02/2016",8.215,8.128,8.260,8.103,"258,74M","2,52%"
"26/02/2016",8.349,8.313,8.397,8.265,"321,92M","1,63%"
"29/02/2016",8.461,8.291,8.463,8.222,"295,55M","1,34%"
"01/03/2016",8.611,8.454,8.611,8.423,"322,25M","1,77%"
"02/03/2016",8.764,8.662,8.778,8.641,"353,54M","1,78%"
"03/03/2016",8.767,8.787,8.812,8.692,"273,57M","0,03%"
"04/03/2016",8.811,8.812,8.877,8.734,"322,35M","0,51%"
"07/03/2016",8.786,8.785,8.834,8.672,"272,40M","-0,28%"
"08/03/2016",8.740,8.736,8.848,8.663,"310,22M","-0,53%"
"09/03/2016",8.761,8.765,8.889,8.741,"315,89M","0,24%"
"10/03/2016",8.766,8.782,9.105,8.730,"533,69M","0,07%"
"11/03/2016",9.090,8.930,9.101,8.913,"476,00M","3,69%"
"14/03/2016",9.142,9.156,9.217,9.120,"362,90M","0,57%"
"15/03/2016",8.988,9.099,9.122,8.961,"376,24M","-1,69%"
"16/03/2016",8.962,9.018,9.062,8.898,"253,94M","-0,28%"
"17/03/2016",8.978,9.064,9.071,8.782,"385,79M","0,18%"
"18/03/2016",9.051,8.995,9.074,8.904,"395,75M","0,81%"
"21/03/2016",9.021,9.006,9.138,8.966,"182,19M","-0,33%"
"22/03/2016",8.992,8.969,8.992,8.840,"216,83M","-0,32%"
"23/03/2016",8.927,9.017,9.046,8.880,"186,65M","-0,72%"
"24/03/2016",8.789,8.862,8.890,8.781,"209,36M","-1,54%"
