"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"02/01/2017",9.418,9.332,9.432,9.318,"108,39M","0,71%"
"03/01/2017",9.494,9.448,9.552,9.438,"280,88M","0,81%"
"04/01/2017",9.462,9.522,9.538,9.424,"238,02M","-0,33%"
"05/01/2017",9.488,9.427,9.507,9.413,"221,28M","0,27%"
"06/01/2017",9.515,9.487,9.515,9.451,"144,57M","0,29%"
"09/01/2017",9.492,9.536,9.536,9.446,"194,38M","-0,24%"
"10/01/2017",9.452,9.497,9.497,9.425,"220,46M","-0,43%"
"11/01/2017",9.408,9.456,9.468,9.378,"298,56M","-0,46%"
"12/01/2017",9.407,9.378,9.452,9.343,"261,90M","-0,01%"
"13/01/2017",9.511,9.445,9.524,9.416,"210,31M","1,11%"
"16/01/2017",9.410,9.457,9.465,9.407,"197,58M","-1,07%"
"17/01/2017",9.394,9.390,9.429,9.361,"255,12M","-0,16%"
"18/01/2017",9.386,9.425,9.430,9.362,"211,88M","-0,09%"
"19/01/2017",9.379,9.406,9.431,9.327,"259,10M","-0,08%"
"20/01/2017",9.380,9.377,9.439,9.345,"238,87M","0,01%"
"23/01/2017",9.304,9.337,9.362,9.279,"197,62M","-0,80%"
"24/01/2017",9.387,9.319,9.387,9.296,"201,31M","0,89%"
"25/01/2017",9.549,9.483,9.588,9.479,"404,76M","1,73%"
"26/01/2017",9.512,9.601,9.623,9.495,"285,95M","-0,38%"
"27/01/2017",9.504,9.531,9.533,9.420,"234,87M","-0,09%"
"30/01/2017",9.361,9.460,9.472,9.349,"220,04M","-1,50%"
"31/01/2017",9.315,9.365,9.430,9.315,"282,77M","-0,49%"
"01/02/2017",9.330,9.416,9.423,9.304,"304,38M","0,17%"
"02/02/2017",9.406,9.321,9.426,9.301,"293,59M","0,81%"
"03/02/2017",9.462,9.435,9.482,9.396,"393,83M","0,60%"
"06/02/2017",9.357,9.459,9.482,9.337,"287,14M","-1,11%"
"07/02/2017",9.331,9.321,9.389,9.304,"284,08M","-0,28%"
"08/02/2017",9.329,9.362,9.378,9.236,"312,73M","-0,02%"
"09/02/2017",9.438,9.353,9.444,9.318,"274,08M","1,17%"
"10/02/2017",9.378,9.478,9.498,9.356,"231,38M","-0,64%"
"13/02/2017",9.484,9.421,9.501,9.387,"178,86M","1,13%"
"14/02/2017",9.510,9.489,9.528,9.461,"206,91M","0,28%"
"15/02/2017",9.584,9.557,9.612,9.528,"235,35M","0,78%"
"16/02/2017",9.554,9.582,9.614,9.526,"213,99M","-0,31%"
"17/02/2017",9.500,9.564,9.571,9.438,"234,06M","-0,57%"
"20/02/2017",9.526,9.564,9.577,9.512,"178,86M","0,28%"
"21/02/2017",9.561,9.523,9.591,9.467,"209,80M","0,36%"
"22/02/2017",9.477,9.577,9.606,9.439,"280,84M","-0,88%"
"23/02/2017",9.493,9.519,9.541,9.479,"276,00M","0,17%"
"24/02/2017",9.453,9.513,9.530,9.383,"285,87M","-0,42%"
"27/02/2017",9.464,9.494,9.499,9.427,"194,24M","0,11%"
"28/02/2017",9.555,9.515,9.570,9.484,"279,24M","0,96%"
"01/03/2017",9.751,9.618,9.756,9.616,"351,70M","2,05%"
"02/03/2017",9.716,9.753,9.762,9.715,"275,02M","-0,36%"
"03/03/2017",9.798,9.694,9.799,9.669,"308,71M","0,85%"
"06/03/2017",9.804,9.772,9.825,9.753,"228,40M","0,06%"
"07/03/2017",9.801,9.817,9.819,9.767,"172,06M","-0,02%"
"08/03/2017",9.850,9.792,9.881,9.785,"247,12M","0,50%"
"09/03/2017",9.998,9.844,10.014,9.837,"390,80M","1,50%"
"10/03/2017",10.006,10.038,10.091,9.989,"405,12M","0,08%"
"13/03/2017",9.995,10.020,10.023,9.957,"193,63M","-0,10%"
"14/03/2017",9.905,9.987,9.995,9.886,"234,66M","-0,91%"
"15/03/2017",9.983,9.931,10.000,9.913,"265,81M","0,79%"
"16/03/2017",10.168,10.090,10.175,10.063,"412,42M","1,85%"
"17/03/2017",10.245,10.153,10.250,10.143,"452,78M","0,77%"
"20/03/2017",10.214,10.216,10.243,10.189,"188,82M","-0,31%"
"21/03/2017",10.211,10.270,10.334,10.188,"313,02M","-0,02%"
"22/03/2017",10.229,10.151,10.268,10.092,"299,75M","0,17%"
"23/03/2017",10.324,10.248,10.324,10.202,"226,58M","0,93%"
"24/03/2017",10.309,10.312,10.330,10.276,"189,56M","-0,15%"
"27/03/2017",10.302,10.218,10.302,10.191,"221,94M","-0,06%"
"28/03/2017",10.389,10.345,10.394,10.312,"215,14M","0,84%"
"29/03/2017",10.367,10.409,10.424,10.303,"232,26M","-0,21%"
"30/03/2017",10.405,10.372,10.406,10.348,"207,20M","0,37%"
"31/03/2017",10.462,10.368,10.462,10.352,"252,48M","0,55%"
"03/04/2017",10.325,10.457,10.457,10.324,"321,62M","-1,32%"
"04/04/2017",10.361,10.304,10.361,10.270,"303,65M","0,35%"
"05/04/2017",10.402,10.377,10.467,10.369,"254,05M","0,40%"
"06/04/2017",10.518,10.349,10.534,10.322,"230,29M","1,12%"
"07/04/2017",10.529,10.466,10.529,10.443,"194,31M","0,10%"
"10/04/2017",10.437,10.507,10.509,10.436,"222,75M","-0,87%"
"11/04/2017",10.416,10.381,10.463,10.358,"309,44M","-0,21%"
"12/04/2017",10.360,10.441,10.486,10.353,"310,21M","-0,54%"
"13/04/2017",10.326,10.347,10.350,10.264,"233,81M","-0,33%"
"18/04/2017",10.264,10.365,10.370,10.216,"283,86M","-0,60%"
"19/04/2017",10.370,10.272,10.377,10.266,"324,42M","1,03%"
"20/04/2017",10.372,10.349,10.473,10.328,"292,27M","0,02%"
"21/04/2017",10.377,10.388,10.434,10.307,"325,22M","0,04%"
"24/04/2017",10.766,10.714,10.769,10.668,"496,99M","3,76%"
"25/04/2017",10.783,10.786,10.828,10.719,"299,93M","0,15%"
"26/04/2017",10.763,10.810,10.815,10.710,"278,42M","-0,18%"
"27/04/2017",10.683,10.718,10.722,10.663,"273,46M","-0,74%"
"28/04/2017",10.715,10.658,10.745,10.622,"298,34M","0,30%"
